Well,Group,Type,Sample,Wavelength [Ex],plate_ID,order_reading,Abs.x,Time [s].x,Abs.y,Time [s].y,Well_row,Well_col,Time_1,Time_2,plate_ID_int,true_conc
E01,Group 1,Standard,CAL30001,450,plate_39,97,1.961,2.22,1.9595,99.42,1,E,2.22,99.42,31,100
E24,Group 1,Standard,CAL30002,450,plate_39,120,1.584,2.45,1.5762,120.89,24,E,2.45,120.89,31,100
G01,Group 1,Standard,CAL40001,450,plate_39,145,1.4086,3.33,1.4078,144.39,1,G,3.33,144.39,31,80
G24,Group 1,Standard,CAL40002,450,plate_39,168,1.4339,3.56,1.4271,165.85,24,G,3.56,165.85,31,80
I01,Group 1,Standard,CAL50001,450,plate_39,193,0.7034,4.44,0.6983,189.35,1,I,4.44,189.35,31,40
I24,Group 1,Standard,CAL50002,450,plate_39,216,0.7051,4.67,0.6936,210.82,24,I,4.67,210.82,31,40
K01,Group 1,Standard,CAL60001,450,plate_39,241,0.2884,5.55,0.2853,234.32,1,K,5.55,234.32,31,20
K24,Group 1,Standard,CAL60002,450,plate_39,264,0.3515,5.78,0.3417,255.78,24,K,5.78,255.78,31,20
M01,Group 1,Standard,CAL70001,450,plate_39,289,0.1773,6.66,0.1748,279.29,1,M,6.66,279.29,31,10
M24,Group 1,Standard,CAL70002,450,plate_39,312,0.166,6.89,0.1597,300.75,24,M,6.89,300.75,31,10
A01,Group 1,Standard,CAL10001,450,plate_4,1,2.8056,0,2.7965,10.72,1,A,0,10.72,32,200
A24,Group 1,Standard,CAL10002,450,plate_4,24,2.494,0.23,2.4921,32.19,24,A,0.23,32.19,32,200
C01,Group 1,Standard,CAL20001,450,plate_4,49,2.4925,1.11,2.4989,55.69,1,C,1.11,55.69,32,150
C24,Group 1,Standard,CAL20002,450,plate_4,72,2.117,1.34,2.1126,77.15,24,C,1.34,77.15,32,150
E01,Group 1,Standard,CAL30001,450,plate_4,97,1.841,2.22,1.8339,100.65,1,E,2.22,100.65,32,100
E24,Group 1,Standard,CAL30002,450,plate_4,120,1.5263,2.45,1.524,122.12,24,E,2.45,122.12,32,100
G01,Group 1,Standard,CAL40001,450,plate_4,145,1.5855,3.33,1.5786,145.62,1,G,3.33,145.62,32,80
G24,Group 1,Standard,CAL40002,450,plate_4,168,1.21,3.56,1.209,167.08,24,G,3.56,167.08,32,80
I01,Group 1,Standard,CAL50001,450,plate_4,193,0.579,4.44,0.5709,190.59,1,I,4.44,190.59,32,40
I24,Group 1,Standard,CAL50002,450,plate_4,216,0.6012,4.67,0.5909,212.05,24,I,4.67,212.05,32,40
K01,Group 1,Standard,CAL60001,450,plate_4,241,0.2844,5.55,0.2785,235.55,1,K,5.55,235.55,32,20
K24,Group 1,Standard,CAL60002,450,plate_4,264,0.3085,5.78,0.2999,257.02,24,K,5.78,257.02,32,20
M01,Group 1,Standard,CAL70001,450,plate_4,289,0.2005,6.66,0.1954,280.52,1,M,6.66,280.52,32,10
M24,Group 1,Standard,CAL70002,450,plate_4,312,0.1991,6.89,0.1846,301.98,24,M,6.89,301.98,32,10
A01,Group 1,Standard,CAL10001,450,plate_40,1,2.7926,0,2.7961,10.75,1,A,0,10.75,33,200
A24,Group 1,Standard,CAL10002,450,plate_40,24,2.6558,0.23,2.654,32.21,24,A,0.23,32.21,33,200
C01,Group 1,Standard,CAL20001,450,plate_40,49,2.5375,1.11,2.5422,55.71,1,C,1.11,55.71,33,150
C24,Group 1,Standard,CAL20002,450,plate_40,72,2.361,1.34,2.3584,77.17,24,C,1.34,77.17,33,150
E01,Group 1,Standard,CAL30001,450,plate_40,97,2.0844,2.22,2.0799,100.68,1,E,2.22,100.68,33,100
E24,Group 1,Standard,CAL30002,450,plate_40,120,1.7156,2.45,1.7062,122.14,24,E,2.45,122.14,33,100
G01,Group 1,Standard,CAL40001,450,plate_40,145,1.6889,3.33,1.6838,145.64,1,G,3.33,145.64,33,80
G24,Group 1,Standard,CAL40002,450,plate_40,168,1.4552,3.56,1.439,167.11,24,G,3.56,167.11,33,80
I01,Group 1,Standard,CAL50001,450,plate_40,193,0.8364,4.44,0.8262,190.61,1,I,4.44,190.61,33,40
I24,Group 1,Standard,CAL50002,450,plate_40,216,0.6987,4.67,0.6809,212.07,24,I,4.67,212.07,33,40
K01,Group 1,Standard,CAL60001,450,plate_40,241,0.3741,5.55,0.3678,235.57,1,K,5.55,235.57,33,20
K24,Group 1,Standard,CAL60002,450,plate_40,264,0.3701,5.78,0.3522,257.04,24,K,5.78,257.04,33,20
M01,Group 1,Standard,CAL70001,450,plate_40,289,0.1624,6.66,0.1582,280.54,1,M,6.66,280.54,33,10
M24,Group 1,Standard,CAL70002,450,plate_40,312,0.1874,6.89,0.17,302,24,M,6.89,302,33,10
A01,Group 1,Standard,CAL10001,450,plate_41,1,2.84,0,2.8341,9.49,1,A,0,9.49,34,200
A24,Group 1,Standard,CAL10002,450,plate_41,24,2.6223,0.23,2.6198,30.95,24,A,0.23,30.95,34,200
C01,Group 1,Standard,CAL20001,450,plate_41,49,2.5593,1.11,2.5612,54.46,1,C,1.11,54.46,34,150
C24,Group 1,Standard,CAL20002,450,plate_41,72,2.1948,1.34,2.1884,75.92,24,C,1.34,75.92,34,150
E01,Group 1,Standard,CAL30001,450,plate_41,97,1.9334,2.22,1.9314,99.42,1,E,2.22,99.42,34,100
E24,Group 1,Standard,CAL30002,450,plate_41,120,1.5871,2.45,1.5735,120.89,24,E,2.45,120.89,34,100
G01,Group 1,Standard,CAL40001,450,plate_41,145,1.6131,3.33,1.6118,144.39,1,G,3.33,144.39,34,80
G24,Group 1,Standard,CAL40002,450,plate_41,168,1.3972,3.56,1.3853,165.85,24,G,3.56,165.85,34,80
I01,Group 1,Standard,CAL50001,450,plate_41,193,0.7203,4.45,0.7131,189.36,1,I,4.45,189.36,34,40
I24,Group 1,Standard,CAL50002,450,plate_41,216,0.5836,4.68,0.5721,210.82,24,I,4.68,210.82,34,40
K01,Group 1,Standard,CAL60001,450,plate_41,241,0.3655,5.56,0.3591,234.32,1,K,5.56,234.32,34,20
K24,Group 1,Standard,CAL60002,450,plate_41,264,0.3174,5.79,0.3038,255.78,24,K,5.79,255.78,34,20
M01,Group 1,Standard,CAL70001,450,plate_41,289,0.1657,6.67,0.1619,279.29,1,M,6.67,279.29,34,10
M24,Group 1,Standard,CAL70002,450,plate_41,312,0.1877,6.9,0.1755,300.75,24,M,6.9,300.75,34,10
A01,Group 1,Standard,CAL10001,450,plate_42,1,2.7668,0,2.7709,10.69,1,A,0,10.69,35,200
A24,Group 1,Standard,CAL10002,450,plate_42,24,2.6062,0.23,2.6095,32.15,24,A,0.23,32.15,35,200
C01,Group 1,Standard,CAL20001,450,plate_42,49,2.4764,1.11,2.4798,55.65,1,C,1.11,55.65,35,150
C24,Group 1,Standard,CAL20002,450,plate_42,72,2.2726,1.34,2.2627,77.12,24,C,1.34,77.12,35,150
E01,Group 1,Standard,CAL30001,450,plate_42,97,1.8564,2.22,1.8503,100.62,1,E,2.22,100.62,35,100
E24,Group 1,Standard,CAL30002,450,plate_42,120,1.825,2.45,1.8125,122.08,24,E,2.45,122.08,35,100
G01,Group 1,Standard,CAL40001,450,plate_42,145,1.4346,3.33,1.4305,145.59,1,G,3.33,145.59,35,80
G24,Group 1,Standard,CAL40002,450,plate_42,168,1.519,3.56,1.5033,167.05,24,G,3.56,167.05,35,80
I01,Group 1,Standard,CAL50001,450,plate_42,193,0.6716,4.44,0.6658,190.55,1,I,4.44,190.55,35,40
I24,Group 1,Standard,CAL50002,450,plate_42,216,0.7518,4.67,0.7343,212.02,24,I,4.67,212.02,35,40
K01,Group 1,Standard,CAL60001,450,plate_42,241,0.3057,5.55,0.2997,235.52,1,K,5.55,235.52,35,20
K24,Group 1,Standard,CAL60002,450,plate_42,264,0.3486,5.78,0.3321,256.98,24,K,5.78,256.98,35,20
M01,Group 1,Standard,CAL70001,450,plate_42,289,0.1539,6.66,0.1505,280.48,1,M,6.66,280.48,35,10
M24,Group 1,Standard,CAL70002,450,plate_42,312,0.1976,6.89,0.1816,301.95,24,M,6.89,301.95,35,10
A01,Group 1,Standard,CAL10001,450,plate_43,1,2.8146,0,2.8138,9.5,1,A,0,9.5,36,200
A24,Group 1,Standard,CAL10002,450,plate_43,24,2.5582,0.23,2.5344,30.96,24,A,0.23,30.96,36,200
C01,Group 1,Standard,CAL20001,450,plate_43,49,2.6291,1.11,2.6373,54.47,1,C,1.11,54.47,36,150
C24,Group 1,Standard,CAL20002,450,plate_43,72,2.2699,1.34,2.2679,75.93,24,C,1.34,75.93,36,150
E01,Group 1,Standard,CAL30001,450,plate_43,97,2.0309,2.22,2.0292,99.43,1,E,2.22,99.43,36,100
E24,Group 1,Standard,CAL30002,450,plate_43,120,1.7357,2.45,1.7235,120.89,24,E,2.45,120.89,36,100
G01,Group 1,Standard,CAL40001,450,plate_43,145,1.4631,3.33,1.4632,144.4,1,G,3.33,144.4,36,80
G24,Group 1,Standard,CAL40002,450,plate_43,168,1.5432,3.56,1.5267,165.86,24,G,3.56,165.86,36,80
I01,Group 1,Standard,CAL50001,450,plate_43,193,0.7521,4.44,0.7456,189.36,1,I,4.44,189.36,36,40
I24,Group 1,Standard,CAL50002,450,plate_43,216,0.6968,4.67,0.6829,210.83,24,I,4.67,210.83,36,40
K01,Group 1,Standard,CAL60001,450,plate_43,241,0.348,5.55,0.3436,234.33,1,K,5.55,234.33,36,20
K24,Group 1,Standard,CAL60002,450,plate_43,264,0.3377,5.78,0.323,255.79,24,K,5.78,255.79,36,20
M01,Group 1,Standard,CAL70001,450,plate_43,289,0.1733,6.66,0.1696,279.29,1,M,6.66,279.29,36,10
M24,Group 1,Standard,CAL70002,450,plate_43,312,0.1791,6.89,0.1671,300.76,24,M,6.89,300.76,36,10
A01,Group 1,Standard,CAL10001,450,plate_44,1,2.8186,0,2.8035,9.48,1,A,0,9.48,37,200
A24,Group 1,Standard,CAL10002,450,plate_44,24,2.5879,0.23,2.5868,30.94,24,A,0.23,30.94,37,200
C01,Group 1,Standard,CAL20001,450,plate_44,49,2.5711,1.11,2.5769,54.44,1,C,1.11,54.44,37,150
C24,Group 1,Standard,CAL20002,450,plate_44,72,2.2524,1.34,2.2483,75.91,24,C,1.34,75.91,37,150
E01,Group 1,Standard,CAL30001,450,plate_44,97,1.9617,2.22,1.9599,99.41,1,E,2.22,99.41,37,100
E24,Group 1,Standard,CAL30002,450,plate_44,120,1.7158,2.45,1.7058,120.87,24,E,2.45,120.87,37,100
G01,Group 1,Standard,CAL40001,450,plate_44,145,1.6323,3.33,1.6302,144.37,1,G,3.33,144.37,37,80
G24,Group 1,Standard,CAL40002,450,plate_44,168,1.2543,3.56,1.2438,165.84,24,G,3.56,165.84,37,80
I01,Group 1,Standard,CAL50001,450,plate_44,193,0.7729,4.44,0.7678,189.34,1,I,4.44,189.34,37,40
I24,Group 1,Standard,CAL50002,450,plate_44,216,0.6679,4.67,0.654,210.8,24,I,4.67,210.8,37,40
K01,Group 1,Standard,CAL60001,450,plate_44,241,0.3493,5.55,0.3453,234.31,1,K,5.55,234.31,37,20
K24,Group 1,Standard,CAL60002,450,plate_44,264,0.3087,5.78,0.2984,255.77,24,K,5.78,255.77,37,20
M01,Group 1,Standard,CAL70001,450,plate_44,289,0.1768,6.67,0.1752,279.27,1,M,6.67,279.27,37,10
M24,Group 1,Standard,CAL70002,450,plate_44,312,0.1821,6.9,0.175,300.73,24,M,6.9,300.73,37,10
A01,Group 1,Standard,CAL10001,450,plate_45,1,2.851,0,2.8461,10.68,1,A,0,10.68,38,200
A24,Group 1,Standard,CAL10002,450,plate_45,24,2.6702,0.23,2.6686,32.14,24,A,0.23,32.14,38,200
C01,Group 1,Standard,CAL20001,450,plate_45,49,2.4892,1.11,2.4912,55.65,1,C,1.11,55.65,38,150
C24,Group 1,Standard,CAL20002,450,plate_45,72,2.3914,1.34,2.3863,77.11,24,C,1.34,77.11,38,150
E01,Group 1,Standard,CAL30001,450,plate_45,97,1.9655,2.23,1.9606,100.61,1,E,2.23,100.61,38,100
E24,Group 1,Standard,CAL30002,450,plate_45,120,1.9095,2.46,1.8962,122.08,24,E,2.46,122.08,38,100
G01,Group 1,Standard,CAL40001,450,plate_45,145,1.3703,3.34,1.3664,145.58,1,G,3.34,145.58,38,80
G24,Group 1,Standard,CAL40002,450,plate_45,168,1.4323,3.57,1.4178,167.04,24,G,3.57,167.04,38,80
I01,Group 1,Standard,CAL50001,450,plate_45,193,0.8122,4.45,0.8026,190.54,1,I,4.45,190.54,38,40
I24,Group 1,Standard,CAL50002,450,plate_45,216,0.73,4.68,0.7164,212.01,24,I,4.68,212.01,38,40
K01,Group 1,Standard,CAL60001,450,plate_45,241,0.3663,5.56,0.3586,235.51,1,K,5.56,235.51,38,20
K24,Group 1,Standard,CAL60002,450,plate_45,264,0.3471,5.79,0.3343,256.97,24,K,5.79,256.97,38,20
M01,Group 1,Standard,CAL70001,450,plate_45,289,0.1656,6.67,0.1622,280.48,1,M,6.67,280.48,38,10
M24,Group 1,Standard,CAL70002,450,plate_45,312,0.1662,6.9,0.1554,301.94,24,M,6.9,301.94,38,10
A01,Group 1,Standard,CAL10001,450,plate_46,1,2.8046,0,2.8059,9.46,1,A,0,9.46,39,200
A24,Group 1,Standard,CAL10002,450,plate_46,24,2.4105,0.23,2.4069,30.92,24,A,0.23,30.92,39,200
C01,Group 1,Standard,CAL20001,450,plate_46,49,2.6019,1.11,2.6019,54.43,1,C,1.11,54.43,39,150
C24,Group 1,Standard,CAL20002,450,plate_46,72,2.1114,1.34,2.102,75.89,24,C,1.34,75.89,39,150
E01,Group 1,Standard,CAL30001,450,plate_46,97,2.0066,2.22,1.9939,99.39,1,E,2.22,99.39,39,100
E24,Group 1,Standard,CAL30002,450,plate_46,120,1.5608,2.45,1.546,120.86,24,E,2.45,120.86,39,100
G01,Group 1,Standard,CAL40001,450,plate_46,145,1.5566,3.33,1.5458,144.36,1,G,3.33,144.36,39,80
G24,Group 1,Standard,CAL40002,450,plate_46,168,1.4616,3.56,1.4429,165.82,24,G,3.56,165.82,39,80
I01,Group 1,Standard,CAL50001,450,plate_46,193,0.7897,4.44,0.7776,189.32,1,I,4.44,189.32,39,40
I24,Group 1,Standard,CAL50002,450,plate_46,216,0.6384,4.67,0.6235,210.79,24,I,4.67,210.79,39,40
K01,Group 1,Standard,CAL60001,450,plate_46,241,0.3482,5.55,0.3417,234.29,1,K,5.55,234.29,39,20
K24,Group 1,Standard,CAL60002,450,plate_46,264,0.3025,5.78,0.2886,255.75,24,K,5.78,255.75,39,20
M01,Group 1,Standard,CAL70001,450,plate_46,289,0.1631,6.66,0.1592,279.26,1,M,6.66,279.26,39,10
M24,Group 1,Standard,CAL70002,450,plate_46,312,0.1668,6.89,0.1527,300.72,24,M,6.89,300.72,39,10
A01,Group 1,Standard,CAL10001,450,plate_47,1,2.8216,0,2.8198,10.67,1,A,0,10.67,40,200
A24,Group 1,Standard,CAL10002,450,plate_47,24,2.6113,0.23,2.6131,32.14,24,A,0.23,32.14,40,200
C01,Group 1,Standard,CAL20001,450,plate_47,49,2.5852,1.11,2.5947,55.64,1,C,1.11,55.64,40,150
C24,Group 1,Standard,CAL20002,450,plate_47,72,2.256,1.34,2.2504,77.1,24,C,1.34,77.1,40,150
E01,Group 1,Standard,CAL30001,450,plate_47,97,1.8548,2.22,1.8503,100.6,1,E,2.22,100.6,40,100
E24,Group 1,Standard,CAL30002,450,plate_47,120,1.6742,2.45,1.6632,122.07,24,E,2.45,122.07,40,100
G01,Group 1,Standard,CAL40001,450,plate_47,145,1.5367,3.33,1.5343,145.57,1,G,3.33,145.57,40,80
G24,Group 1,Standard,CAL40002,450,plate_47,168,1.3998,3.56,1.3825,167.03,24,G,3.56,167.03,40,80
I01,Group 1,Standard,CAL50001,450,plate_47,193,0.7463,4.44,0.7378,190.54,1,I,4.44,190.54,40,40
I24,Group 1,Standard,CAL50002,450,plate_47,216,0.6654,4.67,0.6499,212,24,I,4.67,212,40,40
K01,Group 1,Standard,CAL60001,450,plate_47,241,0.3296,5.55,0.3234,235.5,1,K,5.55,235.5,40,20
K24,Group 1,Standard,CAL60002,450,plate_47,264,0.3304,5.78,0.3144,256.96,24,K,5.78,256.96,40,20
M01,Group 1,Standard,CAL70001,450,plate_47,289,0.1667,6.66,0.1632,280.47,1,M,6.66,280.47,40,10
M24,Group 1,Standard,CAL70002,450,plate_47,312,0.1728,6.89,0.1593,301.93,24,M,6.89,301.93,40,10
A01,Group 1,Standard,CAL10001,450,plate_48,1,2.8021,0,2.8029,9.45,1,A,0,9.45,41,200
A24,Group 1,Standard,CAL10002,450,plate_48,24,2.4676,0.23,2.4666,30.92,24,A,0.23,30.92,41,200
C01,Group 1,Standard,CAL20001,450,plate_48,49,2.4987,1.11,2.4996,54.42,1,C,1.11,54.42,41,150
C24,Group 1,Standard,CAL20002,450,plate_48,72,2.1137,1.34,2.1092,75.88,24,C,1.34,75.88,41,150
E01,Group 1,Standard,CAL30001,450,plate_48,97,1.9215,2.22,1.9167,99.39,1,E,2.22,99.39,41,100
E24,Group 1,Standard,CAL30002,450,plate_48,120,1.6456,2.45,1.6326,120.85,24,E,2.45,120.85,41,100
G01,Group 1,Standard,CAL40001,450,plate_48,145,1.5,3.33,1.4943,144.35,1,G,3.33,144.35,41,80
G24,Group 1,Standard,CAL40002,450,plate_48,168,1.2626,3.56,1.2481,165.82,24,G,3.56,165.82,41,80
I01,Group 1,Standard,CAL50001,450,plate_48,193,0.6934,4.44,0.6859,189.32,1,I,4.44,189.32,41,40
I24,Group 1,Standard,CAL50002,450,plate_48,216,0.6701,4.67,0.6564,210.78,24,I,4.67,210.78,41,40
K01,Group 1,Standard,CAL60001,450,plate_48,241,0.3202,5.55,0.3143,234.28,1,K,5.55,234.28,41,20
K24,Group 1,Standard,CAL60002,450,plate_48,264,0.2936,5.78,0.2821,255.75,24,K,5.78,255.75,41,20
M01,Group 1,Standard,CAL70001,450,plate_48,289,0.1721,6.66,0.1681,279.25,1,M,6.66,279.25,41,10
M24,Group 1,Standard,CAL70002,450,plate_48,312,0.1556,6.89,0.1462,300.71,24,M,6.89,300.71,41,10
A01,Group 1,Standard,CAL10001,450,plate_49,1,2.8029,0,2.8136,10.68,1,A,0,10.68,42,200
A24,Group 1,Standard,CAL10002,450,plate_49,24,2.6318,0.23,2.6237,32.14,24,A,0.23,32.14,42,200
C01,Group 1,Standard,CAL20001,450,plate_49,49,2.5828,1.11,2.5899,55.65,1,C,1.11,55.65,42,150
C24,Group 1,Standard,CAL20002,450,plate_49,72,2.3273,1.34,2.3227,77.11,24,C,1.34,77.11,42,150
E01,Group 1,Standard,CAL30001,450,plate_49,97,1.8846,2.22,1.8822,100.61,1,E,2.22,100.61,42,100
E24,Group 1,Standard,CAL30002,450,plate_49,120,1.7441,2.45,1.7283,122.08,24,E,2.45,122.08,42,100
G01,Group 1,Standard,CAL40001,450,plate_49,145,1.5574,3.33,1.5534,145.58,1,G,3.33,145.58,42,80
G24,Group 1,Standard,CAL40002,450,plate_49,168,1.4633,3.56,1.4456,167.04,24,G,3.56,167.04,42,80
I01,Group 1,Standard,CAL50001,450,plate_49,193,0.7127,4.44,0.7055,190.54,1,I,4.44,190.54,42,40
I24,Group 1,Standard,CAL50002,450,plate_49,216,0.7527,4.67,0.7353,212.01,24,I,4.67,212.01,42,40
K01,Group 1,Standard,CAL60001,450,plate_49,241,0.3249,5.55,0.3189,235.51,1,K,5.55,235.51,42,20
K24,Group 1,Standard,CAL60002,450,plate_49,264,0.3504,5.78,0.3356,256.97,24,K,5.78,256.97,42,20
M01,Group 1,Standard,CAL70001,450,plate_49,289,0.1671,6.66,0.1637,280.48,1,M,6.66,280.48,42,10
M24,Group 1,Standard,CAL70002,450,plate_49,312,0.182,6.89,0.1668,301.94,24,M,6.89,301.94,42,10
A01,Group 1,Standard,CAL10001,450,plate_5,1,2.8215,0,2.8097,10.72,1,A,0,10.72,43,200
A24,Group 1,Standard,CAL10002,450,plate_5,24,2.091,0.23,2.0809,32.19,24,A,0.23,32.19,43,200
C01,Group 1,Standard,CAL20001,450,plate_5,49,2.5015,1.12,2.454,55.69,1,C,1.12,55.69,43,150
C24,Group 1,Standard,CAL20002,450,plate_5,72,2.5061,1.35,2.502,77.15,24,C,1.35,77.15,43,150
E01,Group 1,Standard,CAL30001,450,plate_5,97,2.2597,2.23,2.2646,100.65,1,E,2.23,100.65,43,100
E24,Group 1,Standard,CAL30002,450,plate_5,120,1.8376,2.46,1.8287,122.12,24,E,2.46,122.12,43,100
G01,Group 1,Standard,CAL40001,450,plate_5,145,1.6851,3.34,1.688,145.62,1,G,3.34,145.62,43,80
G24,Group 1,Standard,CAL40002,450,plate_5,168,1.7308,3.57,1.7209,167.08,24,G,3.57,167.08,43,80
I01,Group 1,Standard,CAL50001,450,plate_5,193,1.0549,4.45,1.0492,190.59,1,I,4.45,190.59,43,40
I24,Group 1,Standard,CAL50002,450,plate_5,216,0.7941,4.68,0.7857,212.05,24,I,4.68,212.05,43,40
K01,Group 1,Standard,CAL60001,450,plate_5,241,0.5008,5.56,0.4945,235.55,1,K,5.56,235.55,43,20
K24,Group 1,Standard,CAL60002,450,plate_5,264,0.4351,5.79,0.425,257.02,24,K,5.79,257.02,43,20
M01,Group 1,Standard,CAL70001,450,plate_5,289,0.2828,6.67,0.2764,280.52,1,M,6.67,280.52,43,10
M24,Group 1,Standard,CAL70002,450,plate_5,312,0.2071,6.9,0.1933,301.98,24,M,6.9,301.98,43,10
A01,Group 1,Standard,CAL10001,450,plate_50,1,2.8207,0,2.8243,9.46,1,A,0,9.46,44,200
A24,Group 1,Standard,CAL10002,450,plate_50,24,2.543,0.23,2.5493,30.93,24,A,0.23,30.93,44,200
C01,Group 1,Standard,CAL20001,450,plate_50,49,2.5155,1.11,2.5246,54.43,1,C,1.11,54.43,44,150
C24,Group 1,Standard,CAL20002,450,plate_50,72,2.1797,1.34,2.1768,75.89,24,C,1.34,75.89,44,150
E01,Group 1,Standard,CAL30001,450,plate_50,97,1.9424,2.22,1.9382,99.39,1,E,2.22,99.39,44,100
E24,Group 1,Standard,CAL30002,450,plate_50,120,1.667,2.45,1.6619,120.86,24,E,2.45,120.86,44,100
G01,Group 1,Standard,CAL40001,450,plate_50,145,1.5408,3.34,1.5318,144.36,1,G,3.34,144.36,44,80
G24,Group 1,Standard,CAL40002,450,plate_50,168,1.2722,3.57,1.2595,165.82,24,G,3.57,165.82,44,80
I01,Group 1,Standard,CAL50001,450,plate_50,193,0.7662,4.45,0.7567,189.33,1,I,4.45,189.33,44,40
I24,Group 1,Standard,CAL50002,450,plate_50,216,0.6508,4.68,0.6377,210.79,24,I,4.68,210.79,44,40
K01,Group 1,Standard,CAL60001,450,plate_50,241,0.3421,5.56,0.3355,234.29,1,K,5.56,234.29,44,20
K24,Group 1,Standard,CAL60002,450,plate_50,264,0.3037,5.79,0.2912,255.76,24,K,5.79,255.76,44,20
M01,Group 1,Standard,CAL70001,450,plate_50,289,0.1783,6.67,0.1736,279.26,1,M,6.67,279.26,44,10
M24,Group 1,Standard,CAL70002,450,plate_50,312,0.1772,6.9,0.1648,300.72,24,M,6.9,300.72,44,10
A01,Group 1,Standard,CAL10001,450,plate_51,1,2.7672,0,2.7704,10.69,1,A,0,10.69,45,200
A24,Group 1,Standard,CAL10002,450,plate_51,24,2.6424,0.23,2.6433,32.15,24,A,0.23,32.15,45,200
C01,Group 1,Standard,CAL20001,450,plate_51,49,2.5118,1.11,2.5187,55.66,1,C,1.11,55.66,45,150
C24,Group 1,Standard,CAL20002,450,plate_51,72,2.2587,1.34,2.2586,77.12,24,C,1.34,77.12,45,150
E01,Group 1,Standard,CAL30001,450,plate_51,97,1.8175,2.22,1.8126,100.62,1,E,2.22,100.62,45,100
E24,Group 1,Standard,CAL30002,450,plate_51,120,1.7929,2.45,1.7883,122.09,24,E,2.45,122.09,45,100
G01,Group 1,Standard,CAL40001,450,plate_51,145,1.4036,3.34,1.4012,145.59,1,G,3.34,145.59,45,80
G24,Group 1,Standard,CAL40002,450,plate_51,168,1.3862,3.57,1.3779,167.05,24,G,3.57,167.05,45,80
I01,Group 1,Standard,CAL50001,450,plate_51,193,0.6785,4.45,0.6729,190.55,1,I,4.45,190.55,45,40
I24,Group 1,Standard,CAL50002,450,plate_51,216,0.6506,4.68,0.6413,212.02,24,I,4.68,212.02,45,40
K01,Group 1,Standard,CAL60001,450,plate_51,241,0.3291,5.56,0.3238,235.52,1,K,5.56,235.52,45,20
K24,Group 1,Standard,CAL60002,450,plate_51,264,0.3171,5.79,0.3069,256.98,24,K,5.79,256.98,45,20
M01,Group 1,Standard,CAL70001,450,plate_51,289,0.166,6.67,0.1629,280.49,1,M,6.67,280.49,45,10
M24,Group 1,Standard,CAL70002,450,plate_51,312,0.0951,6.9,0.0872,301.95,24,M,6.9,301.95,45,10
A01,Group 1,Standard,CAL10001,450,plate_52,1,2.8119,0,2.8052,10.68,1,A,0,10.68,46,200
A24,Group 1,Standard,CAL10002,450,plate_52,24,2.6106,0.23,2.607,32.14,24,A,0.23,32.14,46,200
C01,Group 1,Standard,CAL20001,450,plate_52,49,2.5104,1.11,2.5206,55.65,1,C,1.11,55.65,46,150
C24,Group 1,Standard,CAL20002,450,plate_52,72,2.2422,1.34,2.2406,77.11,24,C,1.34,77.11,46,150
E01,Group 1,Standard,CAL30001,450,plate_52,97,1.8739,2.22,1.8687,100.61,1,E,2.22,100.61,46,100
E24,Group 1,Standard,CAL30002,450,plate_52,120,1.6698,2.45,1.6638,122.08,24,E,2.45,122.08,46,100
G01,Group 1,Standard,CAL40001,450,plate_52,145,1.4723,3.33,1.4677,145.58,1,G,3.33,145.58,46,80
G24,Group 1,Standard,CAL40002,450,plate_52,168,1.3059,3.56,1.2973,167.04,24,G,3.56,167.04,46,80
I01,Group 1,Standard,CAL50001,450,plate_52,193,0.6865,4.44,0.6806,190.54,1,I,4.44,190.54,46,40
I24,Group 1,Standard,CAL50002,450,plate_52,216,0.7057,4.67,0.6948,212.01,24,I,4.67,212.01,46,40
K01,Group 1,Standard,CAL60001,450,plate_52,241,0.3152,5.56,0.3104,235.51,1,K,5.56,235.51,46,20
K24,Group 1,Standard,CAL60002,450,plate_52,264,0.306,5.79,0.2972,256.97,24,K,5.79,256.97,46,20
M01,Group 1,Standard,CAL70001,450,plate_52,289,0.1694,6.67,0.1658,280.48,1,M,6.67,280.48,46,10
M24,Group 1,Standard,CAL70002,450,plate_52,312,0.0644,6.9,0.0602,301.94,24,M,6.9,301.94,46,10
A01,Group 1,Standard,CAL10001,450,plate_53,1,2.808,0,2.811,10.69,1,A,0,10.69,47,200
A24,Group 1,Standard,CAL10002,450,plate_53,24,2.5167,0.23,2.5217,32.15,24,A,0.23,32.15,47,200
C01,Group 1,Standard,CAL20001,450,plate_53,49,2.5556,1.11,2.5618,55.65,1,C,1.11,55.65,47,150
C24,Group 1,Standard,CAL20002,450,plate_53,72,2.1556,1.34,2.1502,77.12,24,C,1.34,77.12,47,150
E01,Group 1,Standard,CAL30001,450,plate_53,97,1.9954,2.23,1.9933,100.62,1,E,2.23,100.62,47,100
E24,Group 1,Standard,CAL30002,450,plate_53,120,1.5763,2.46,1.5649,122.08,24,E,2.46,122.08,47,100
G01,Group 1,Standard,CAL40001,450,plate_53,145,1.51,3.34,1.5033,145.59,1,G,3.34,145.59,47,80
G24,Group 1,Standard,CAL40002,450,plate_53,168,1.1432,3.57,1.1291,167.05,24,G,3.57,167.05,47,80
I01,Group 1,Standard,CAL50001,450,plate_53,193,0.7018,4.45,0.6943,190.55,1,I,4.45,190.55,47,40
